Subject Area,Presentation Table,Presentation Column,Expression - Presentation Column,Description - Presentation Column,Business Model,Derived logical table,Derived logical column,Description - Derived Logical Column,Expression,Logical Table,Logical Column,Description - Logical Column,Logical Table Source,Expression,Initialization Block,Variable,Database,Physical Catalog,Physical Schema,Physical Table,Alias,Physical Column,Description - Physical Column
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,CountryKey_LAND1,,,,,,,,AccountingDocumentsReceivable_LOGICAL,CountryKey_LAND1,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,CountryKey_LAND1,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,NAME1_NAME1,,,,,,,,AccountingDocumentsReceivable_LOGICAL,NAME1_NAME1,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,NAME1_NAME1,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,City_ORT01,,,,,,,,AccountingDocumentsReceivable_LOGICAL,City_ORT01,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,City_ORT01,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,Company_City,,,,,,,,AccountingDocumentsReceivable_LOGICAL,Company_City,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,Company_City,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,CompanyText_BUTXT,,,,,,,,AccountingDocumentsReceivable_LOGICAL,CompanyText_BUTXT,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,CompanyText_BUTXT,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,Company_Country,,,,,,,,AccountingDocumentsReceivable_LOGICAL,Company_Country,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,Company_Country,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,AccountingDocumentnumber_BELNR,,,,,,,,AccountingDocumentsReceivable_LOGICAL,AccountingDocumentnumber_BELNR,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,AccountingDocumentnumber_BELNR,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,AccountsReceivable,,,,,,,,AccountingDocumentsReceivable_LOGICAL,AccountsReceivable,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,AccountsReceivable,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,BadDebt_DMBTR,,,,,,,,AccountingDocumentsReceivable_LOGICAL,BadDebt_DMBTR,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,BadDebt_DMBTR,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,BillingDocument_VBELN,,,,,,,,AccountingDocumentsReceivable_LOGICAL,BillingDocument_VBELN,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,BillingDocument_VBELN,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,ClearedAfterDueDate,,,,,,,,AccountingDocumentsReceivable_LOGICAL,ClearedAfterDueDate,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,ClearedAfterDueDate,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,ClearedOnOrBeforeDueDate,,,,,,,,AccountingDocumentsReceivable_LOGICAL,ClearedOnOrBeforeDueDate,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,ClearedOnOrBeforeDueDate,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,Client_MANDT,,,,,,,,AccountingDocumentsReceivable_LOGICAL,Client_MANDT,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,Client_MANDT,
Test_OBI_To_Look,AccountingDocumentsReceivable_PRES,DocumentDateInDocument_BLDAT,,,,,,,,AccountingDocumentsReceivable_LOGICAL,DocumentDateInDocument_BLDAT,,,,,,,,cortex_reporting,AccountingDocumentsReceivable,data_intelligence_ar,DocumentDateInDocument_BLDAT,
Test_OBI_To_Look,billing,BusinessArea_GSBER,,,,,,,,billing,BusinessArea_GSBER,,,,,,,,cortex_reporting,billing,billing,BusinessArea_GSBER,
Test_OBI_To_Look,billing,CityCode_CITYC,,,,,,,,billing,CityCode_CITYC,,,,,,,,cortex_reporting,billing,billing,CityCode_CITYC,
Test_OBI_To_Look,billing,Client_MANDT,,,,,,,,billing,Client_MANDT,,,,,,,,cortex_reporting,billing,billing,Client_MANDT,
Test_OBI_To_Look,billing,CompanyCode_BUKRS,,,,,,,,billing,CompanyCode_BUKRS,,,,,,,,cortex_reporting,billing,billing,CompanyCode_BUKRS,
Test_OBI_To_Look,billing,ConditionItemNumber_KPOSN,,,,,,,,billing,ConditionItemNumber_KPOSN,,,,,,,,cortex_reporting,billing,billing,ConditionItemNumber_KPOSN,
Test_OBI_To_Look,billing,ContryCode_COUNC,,,,,,,,billing,ContryCode_COUNC,,,,,,,,cortex_reporting,billing,billing,ContryCode_COUNC,
Test_OBI_To_Look,billing,CostCenter_KOSTL,,,,,,,,billing,CostCenter_KOSTL,,,,,,,,cortex_reporting,billing,billing,CostCenter_KOSTL,
Test_OBI_To_Look,billing,CountryOfSalesTaxIDNumber_STCEG_L,,,,,,,,billing,CountryOfSalesTaxIDNumber_STCEG_L,,,,,,,,cortex_reporting,billing,billing,CountryOfSalesTaxIDNumber_STCEG_L,
Test_OBI_To_Look,billing,DestinationCountry_LAND1,,,,,,,,billing,DestinationCountry_LAND1,,,,,,,,cortex_reporting,billing,billing,DestinationCountry_LAND1,
Test_OBI_To_Look,billing,DistributionChannel_VTWEG,,,,,,,,billing,DistributionChannel_VTWEG,,,,,,,,cortex_reporting,billing,billing,DistributionChannel_VTWEG,
Test_OBI_To_Look,billing,Division_SPART,,,,,,,,billing,Division_SPART,,,,,,,,cortex_reporting,billing,billing,Division_SPART,
